1,0,-101,797,-548,3151,-24870,24048,376,-2008,1236,4940,-27654,23155
2,250,-146,810,-507,5465,-25636,22595,485,-2031,1130,7236,-28365,21600
3,500,-190,818,-464,7761,-26279,21036,590,-2039,1018,9499,-28924,19932
4,750,-232,821,-418,10012,-26763,19350,689,-2032,899,11703,-29302,18142
5,1000,-273,819,-371,12199,-27073,17539,783,-2013,776,13833,-29495,16239
6,1250,-311,813,-322,14308,-27210,15616,871,-1982,651,15877,-29505,14238
7,1500,-347,801,-272,16328,-27180,13599,953,-1939,523,17823,-29332,12152
8,1750,-381,785,-221,18248,-26983,11499,1027,-1885,394,19659,-28979,9993
9,2000,-412,763,-169,20056,-26621,9330,1095,-1819,264,21374,-28447,7774
10,2250,-439,738,-117,21740,-26094,7105,1154,-1742,135,22958,-27740,5508
11,2500,-464,707,-65,23290,-25407,4837,1206,-1654,6,24400,-26862,3210
12,2750,-479,681,-39,24671,-24585,2847,1232,-1580,0,25712,-25798,724
13,3000,-486,658,-38,25909,-23604,1033,1238,-1512,0,26855,-24585,-1576
14,3250,-486,635,-50,27017,-22451,-924,1231,-1441,0,27823,-23230,-3842
15,3500,-483,608,-63,27969,-21149,-3160,1216,-1361,0,28618,-21733,-6121
16,3750,-478,576,-69,28732,-19732,-5581,1194,-1271,0,29237,-20102,-8387
17,4000,-471,538,-70,29298,-18211,-8013,1167,-1169,0,29675,-18347,-10607
18,4250,-461,496,-66,29678,-16584,-10336,1133,-1057,0,29930,-16480,-12755
19,4500,-449,451,-61,29882,-14847,-12509,1092,-939,0,30000,-14511,-14819
20,4750,-433,403,-57,29912,-13009,-14552,1043,-815,0,29886,-12452,-16788
21,5000,-414,353,-54,29763,-11087,-16494,986,-686,0,29588,-10315,-18655
22,5250,-391,301,-52,29430,-9096,-18352,922,-555,0,29108,-8115,-20412
23,5500,-367,247,-50,28912,-7053,-20120,852,-419,0,28448,-5865,-22049
24,5750,-339,192,-47,28213,-4969,-21781,776,-281,0,27613,-3579,-23555
25,6000,-310,135,-44,27339,-2855,-23313,694,-141,0,26606,-1272,-24921
26,6250,-278,78,-40,26296,-724,-24699,608,0,0,25436,1044,-26136
27,6500,-251,48,-38,25122,1133,-25956,538,0,0,24084,3515,-27188
28,6750,-230,46,-36,23786,2809,-27121,478,0,0,22595,5776,-28080
29,7000,-211,59,-32,22269,4579,-28161,422,0,0,20977,7987,-28809
30,7250,-191,72,-25,20601,6564,-28990,365,0,0,19231,10182,-29369
31,7500,-169,80,-17,18820,8691,-29561,304,0,0,17368,12334,-29750
32,7750,-144,80,-10,16946,10818,-29885,236,0,0,15398,14415,-29948
33,8000,-116,75,-4,14976,12836,-30000,165,0,0,13336,16401,-29923
34,8250,-87,69,0,12908,14703,-29938,90,0,0,11191,18279,-29675
